CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS1110;Carthage ;289,1801;779,443;TS111;1;Tunis;(6) plus de 1 000 000;16,9;8,9;1,0;20715;20715;6432;3265;2379;21127;8,302;0,513
TS1111;La Medina ;274,3319;773,8342;TS111;0;Tunis;(6) plus de 1 000 000;1,0;16,2;16,9;26703;4733;8265;2771;42243;25757;1,523;0,418
TS1112;Bab El Bhar ;275,6247;774,3254;TS111;0;Tunis;(6) plus de 1 000 000;2,4;15,2;15,5;39806;39806;16125;6812;12701;36753;5,721;1,000
TS1113;Bab Souika ;273,7847;774,7392;TS111;0;Tunis;(6) plus de 1 000 000;2,1;17,0;17,1;33284;33284;9629;2548;7199;31762;2,218;0,922
TS1114;El Omrane ;273,0474;776,2263;TS111;0;Tunis;(6) plus de 1 000 000;3,7;18,3;17,5;40801;40801;9779;3645;4446;41702;4,922;0,420
TS1115;El Omrane Supérieur ;270,4797;778,5712;TS111;0;Tunis;(6) plus de 1 000 000;7,1;21,7;19,7;62138;62138;15679;8805;6375;65237;3,374;0,462
TS1116;Ettahrir ;270,1699;777,0314;TS111;0;Tunis;(6) plus de 1 000 000;6,2;21,3;20,2;21956;21956;6027;3790;2758;22980;1,809;0,501
TS1117;El Menzah ;273,6044;778,1093;TS111;0;Tunis;(6) plus de 1 000 000;5,3;18,8;16,6;43320;43320;13707;5995;6856;46346;10,732;0,654
TS1118;Cité El Khadhra ;278,5714;778,4046;TS111;0;Tunis;(6) plus de 1 000 000;7,2;14,0;11,7;36818;36818;11035;6755;4073;38860;19,758;0,791
TS1119;Le Bardo ;270,3454;775,4391;TS111;0;Tunis;(6) plus de 1 000 000;5,3;20,5;20,3;70244;70244;19594;8507;12838;68560;6,795;0,476
TS111A;Sijoumi ;273,6623;772,7043;TS111;0;Tunis;(6) plus de 1 000 000;2,3;16,4;17,9;36171;36171;7190;1944;4285;34361;2,044;0,317
TS111B;Ezzouhour ;270,9052;773,5385;TS111;0;Tunis;(6) plus de 1 000 000;4,4;19,3;20,2;40434;40434;9601;3915;6335;39198;2,842;0,380
TS111C;El Hrairia ;264,1705;773,3484;TS111;0;Tunis;(6) plus de 1 000 000;11,2;25,9;26,7;96245;96245;22466;10600;3513;98606;24,253;0,422
TS111D;Sidi Hassine ;266,0072;767,994;TS111;0;Tunis;(6) plus de 1 000 000;11,2;23,8;26,8;79381;79381;18458;10625;1699;85425;67,351;0,397
TS111E;El Ouardia ;275,9198;769,7927;TS111;0;Tunis;(6) plus de 1 000 000;5,3;13,8;17,4;33734;33734;8462;2356;6430;32936;4,171;0,401
TS111F;El Kabaria ;277,2563;768,2751;TS111;0;Tunis;(6) plus de 1 000 000;7,3;12,6;17,3;81261;81261;20040;10131;3153;83516;14,339;0,428
TS111G;Sidi El Béchir ;275,2048;772,4462;TS111;0;Tunis;(6) plus de 1 000 000;2,6;14,9;16,6;29911;29911;8694;3246;2778;27517;2,697;0,545
TS111H;Djebel Djelloud ;277,7917;769,8104;TS111;0;Tunis;(6) plus de 1 000 000;6,3;11,9;15,9;26490;26490;5724;1550;2285;26056;5,326;0,356
TS111I;La Goulette ;287,2684;776,0638;TS111;0;Tunis;(6) plus de 1 000 000;14,1;5,0;4,9;28407;28407;8638;3981;2765;28986;11,98;0,610
TS111J;Le Kram ;284,4207;779,1791;TS111;0;Tunis;(6) plus de 1 000 000;12,4;9,2;5,8;58152;58152;16803;7522;3212;60927;10,348;0,480
TS111K;La Marsa ;286,7848;783,7319;TS111;0;Tunis;(6) plus de 1 000 000;16,9;12,7;5,9;77890;77890;23237;7386;5026;82057;31,571;0,588
TS1120;L Ariana Ville  ;273,8463;781,0903;TS112;1;Tunis;(6) plus de 1 000 000;8,3;19,3;1,0;97687;97687;32121;16961;15426;109500;18,612;0,638
TS1121;Soukra ;278,8923;783,6502;TS112;0;Tunis;(6) plus de 1 000 000;11,8;16,3;6,7;89151;89151;25163;19129;2832;107829;27,895;0,557
TS1122;Raoued ;273,9186;788,8873;TS112;0;Tunis;(6) plus de 1 000 000;16,1;23,5;8,8;60896;53911;17499;14053;1443;77419;57,08;0,531
TS1123;Kalaât El Andalous ;269,8599;799,4472;TS112;0;;(2) 10 à 20 000;27,0;33,4;19,8;23045;15313;4778;728;528;24367;188,206;0,383
TS1124;Sidi Thabet ;261,2769;787,2263;TS112;0;;(1) moins de 10 000;19,7;33,3;15,0;19404;8909;4802;1298;723;20231;97,08;0,358
TS1125;Cité Ettadhamen ;266,7281;777,9012;TS112;0;Tunis;(6) plus de 1 000 000;9,6;24,7;8,8;78311;78311;18367;5651;5245;82922;3,376;0,386
TS1126;El Mnihla ;266,8617;781,2457;TS112;0;Tunis;(6) plus de 1 000 000;11,5;26,1;8,0;53752;40176;14370;7258;985;69247;22,907;0,466
TS1130;Ben Arous  ;279,4702;767,4516;TS113;1;Tunis;(6) plus de 1 000 000;9,2;10,8;1,0;32329;32329;8800;3963;9381;30378;6,644;0,489
TS1131;La Nouvelle Medina ;281,5814;766,168;TS113;0;Tunis;(6) plus de 1 000 000;11,6;9,8;3,5;42603;42603;11110;6070;2295;45884;8,114;0,468
TS1132;El Mourouj ;278,1386;765,2702;TS113;0;Tunis;(6) plus de 1 000 000;10,4;13,0;3,6;81986;81986;23444;21829;5773;113339;16,099;0,557
TS1133;Hammam Lif ;290,1537;764,0915;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;19,6;12,9;12,2;38401;38401;11549;3130;4802;38631;11,516;0,439
TS1134;Hammam Chôtt ;293,1596;761,224;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;23,7;17,0;16,0;24847;24847;7168;4997;1551;29153;26,187;0,456
TS1135;Bou Mhel El Bassatine ;286,675;763,0187;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;17,4;12,1;9,5;27977;27977;7831;5831;1135;35185;20,057;0,510
TS1136;Ezzahra ;285,6486;765,8165;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;14,9;9,1;7,4;31792;31792;9783;5508;3991;33665;7,081;0,523
TS1137;Radès ;284,7318;769,8022;TS113;0;Tunis;(6) plus de 1 000 000;12,2;5,0;6,8;44857;44857;13465;7221;3708;48087;19,213;0,504
TS1138;Megrine ;280,8047;769,8356;TS113;0;Tunis;(6) plus de 1 000 000;8,6;8,9;3,7;24031;24031;6511;1880;2872;22189;11,712;0,540
TS1139;Mohamedia ;265,9499;757,2567;TS113;0;;(4) 50 à 100 000;19,6;27,6;17,9;46613;40662;11110;6451;2327;52104;96,241;0,370
TS113A;Fouchana ;275,3151;762,5345;TS113;0;Tunis;(6) plus de 1 000 000;12,3;16,9;7,4;56628;33958;13833;8910;2695;66484;37,346;0,475
TS113B;Mornag ;282,9115;750,4269;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;25,9;24,5;18,4;53709;33137;11460;3515;1836;56366;396,661;0,416
TS1140;Mannouba  ;263,6115;776,1439;TS114;1;Tunis;(6) plus de 1 000 000;12,0;27,1;1,0;51398;51398;13897;7033;9466;55043;11,9;0,570
TS1141;Douar Hicher ;263,5536;778,4484;TS114;0;Tunis;(6) plus de 1 000 000;12,7;27,9;3,3;75959;75535;15779;7514;1518;83317;9,6;0,398
TS1142;Oued Ellil ;257,0129;777,8028;TS114;0;Tunis;(6) plus de 1 000 000;18,8;33,9;7,8;58544;47614;13377;6450;2109;66223;56,4;0,422
TS1143;Mornaguia ;251,9954;763,6674;TS114;0;;(2) 10 à 20 000;25,5;38,3;18,0;35129;13691;7524;2806;1352;33286;249,1;0,383
TS1144;Borj Amri ;243,3033;764,6765;TS114;0;;(1) moins de 10 000;33,4;46,7;24,3;16184;5556;3236;842;892;24440;174,8;0,318
TS1145;Djedeida ;248,8476;783,6799;TS114;0;;(3) 20 à 50000;28,3;31,2;17,6;40327;24746;8727;2445;1638;43216;179,3;0,350
TS1146;Tebourba ;233,5432;781,8521;TS114;0;;(3) 20 à 50000;42,6;34,1;31,6;41050;24175;8334;1628;2294;42606;279,8;0,319
TS1147;El Battane ;234,7881;772,4409;TS114;0;;(1) moins de 10 000;40,6;42,8;30,1;17321;5761;3392;716;444;17740;151,4;0,279
TS1150;Nabeul  ;322,7676;736,6566;TS115;1;Nabeul;(5) 100 000 à 1 000 000;62,1;55,5;1,0;59490;56387;18733;4838;7360;61366;71,6;0,523
TS1151;Dar Châabane El Fehri ;325,2173;741,8206;TS115;0;Nabeul;(5) 100 000 à 1 000 000;61,1;54,2;6,7;39477;35859;10817;3406;1099;44322;71,9;0,456
TS1152;Beni khiar ;331,9859;741,5815;TS115;0;Nabeul;(5) 100 000 à 1 000 000;67,1;60,0;11,5;35565;29898;10912;2055;937;38035;106;0,424
TS1153;Korba ;334,8169;753,0714;TS115;0;;(3) 20 à 50000;64,9;57,8;21,4;60564;42420;15630;2060;1600;64080;206,1;0,392
TS1154;Menzel Temime ;344,0168;773,6315;TS115;0;;(3) 20 à 50000;70,7;61,8;43,6;59463;39326;15319;1387;2285;62003;260,8;0,357
TS1155;El Mida ;336,9924;764,886;TS115;0;;(1) moins de 10 000;64,3;56,0;32,6;23667;3437;5894;650;722;23879;154,4;0,339
TS1156;Kelibia ;354,4988;782,1613;TS115;0;;(4) 50 à 100 000;81,6;72,5;56,5;53648;48210;15238;2815;2242;58418;128;0,380
TS1157;Hammam El Guezaz ;358,8191;787,0827;TS115;0;;(1) moins de 10 000;86,5;77,4;63,0;14324;11998;3780;632;566;14477;77,8;0,293
TS1158;El Haouaria ;344,9065;792,0798;TS115;0;;(1) moins de 10 000;73,9;64,8;60,7;39378;9273;10106;955;1460;39833;332,4;0,304
TS1159;Takelsa ;321,8742;774,7626;TS115;0;;(3) 20 à 50000;48,6;39,6;39,1;20169;20169;4123;552;692;20705;270;0,298
TS115A;Soliman ;307,192;763,4929;TS115;0;Hammam-Lif;(5) 100 000 à 1 000 000;35,4;28,3;32,0;41846;32611;10783;3729;1432;45091;140,1;0,478
TS115B;Menzel Bouzelfa ;320,8438;762,0244;TS115;0;Hammam-Lif;(5) 100 000 à 1 000 000;49,0;41,4;26,4;33599;15670;8442;876;1278;34923;141,7;0,372
TS115C;Beni Khalled ;319,3212;753,5577;TS115;0;Hammam-Lif;(5) 100 000 à 1 000 000;50,3;43,2;18,2;33897;19943;8077;1944;940;35994;118,1;0,399
TS115D;Grombalia ;299,6516;750,267;TS115;0;;(3) 20 à 50000;35,6;29,6;27,8;55489;18856;12521;3310;2064;60826;298,1;0,458
TS115E;Bou Argoub ;312,8256;742,9939;TS115;0;;(2) 10 à 20 000;50,3;43,8;12,8;27846;10311;5955;1028;743;29116;131,2;0,350
TS115F;Hammamet ;305,0623;732,52;TS115;0;Nabeul;(5) 100 000 à 1 000 000;52,5;47,5;19,2;95468;63116;30254;5265;3027;114351;320,9;0,527
TS1160;Zaghouan  ;274,5499;729,59;TS116;1;;(2) 10 à 20 000;45,2;46,5;1,0;34367;16037;8328;2189;3201;35436;421,2;0,417
TS1161;Ez-Zeriba ;279,3524;718,6291;TS116;0;;(2) 10 à 20 000;56,4;56,5;13,0;20765;9002;4820;940;544;21397;345;0,366
TS1162;Bir Mchergua ;257,2159;741,9661;TS116;0;;(1) moins de 10 000;37,2;44,1;22,3;21508;11033;4489;1638;766;23722;549,3;0,425
TS1163;El Fahs ;243,9109;715,4098;TS116;0;;(3) 20 à 50000;66,9;73,0;34,8;43678;19315;9284;1523;2117;43915;938,7;0,297
TS1164;En-Nadhour ;257,7283;696,8871;TS116;0;;(1) moins de 10 000;79,7;73,6;37,8;28550;5027;5540;610;1030;32733;350,1;0,162
TS1165;Saouaf ;273,8343;706,9683;TS116;0;;(1) moins de 10 000;67,9;66,5;23,6;12095;0;2498;280;307;12234;262,6;0,162
TS1170;Bizerte Nord  ;243,4603;830,5993;TS117;1;Bizerte;(5) 100 000 à 1 000 000;65,6;26,3;1,0;75234;71492;24081;4478;9488;77940;53,52;0,485
TS1171;Zarzouna ;248,8367;824,7561;TS117;0;Bizerte;(5) 100 000 à 1 000 000;57,9;21,5;8,9;24428;24428;6876;3858;1349;28195;7,12;0,423
TS1172;Bizerte Sud ;228,1092;824,8546;TS117;0;Bizerte;(5) 100 000 à 1 000 000;69,8;26,7;17,4;45227;18451;10431;2293;1058;46978;398,75;0,368
TS1173;Sedjnane ;191,816;813,1299;TS117;0;;(1) moins de 10 000;92,4;56,5;55,5;42156;4737;9140;754;1904;42652;609,2;0,154
TS1174;Djoumine ;202,7698;784,7556;TS117;0;;(1) moins de 10 000;73,4;52,3;62,3;35213;0;6789;739;1605;35513;558,27;0,140
TS1175;Mateur ;226,9773;795,6426;TS117;0;;(3) 20 à 50000;53,1;26,2;39,6;47562;31345;10922;2108;3481;48110;564,54;0,346
TS1176;Ghezala ;210,8032;806,5714;TS117;0;;(1) moins de 10 000;72,5;37,5;41,5;27799;0;6261;522;912;27005;403,89;0,166
TS1177;Menzel Bourguiba ;243,215;809,2536;TS117;0;Menzel Bourguiba;(4) 50 à 100 000;48,1;5,0;22,3;54804;47742;14142;1488;3592;54612;121,38;0,406
TS1178;Tinja ;235,4553;810,9679;TS117;0;Menzel Bourguiba;(4) 50 à 100 000;54,8;12,9;22,2;19444;17454;5052;1368;269;19825;39,67;0,323
TS1179;Utique ;253,6805;800,1184;TS117;0;;(1) moins de 10 000;34,4;18,9;33,1;18266;0;3722;499;625;18513;386,93;0,325
TS117A;Ghar El Meleh ;269,1194;814,8201;TS117;0;;(1) moins de 10 000;42,3;31,5;31,1;18525;8998;4664;544;483;19004;95,26;0,358
TS117B;Menzel Djemil ;254,1884;820,699;TS117;0;Bizerte;(5) 100 000 à 1 000 000;52,0;20,9;15,6;39691;35168;12556;3107;853;43618;83,98;0,446
TS117C;El Alia ;258,1474;814,7325;TS117;0;;(2) 10 à 20 000;45,0;20,9;22,6;24539;16819;6069;936;599;26771;81,92;0,396
TS117D;Ras Djebel ;267,9895;821,5663;TS117;0;;(3) 20 à 50000;49,2;32,7;27,1;51240;42762;16935;1703;1002;55790;81,95;0,429
TS1210;Béja Nord  ;187,9986;774,9232;TS121;1;Béja;(4) 50 à 100 000;87,3;70,0;1,0;67471;44179;17316;3213;8280;70167;416;0,339
TS1211;Béja Sud ;183,4948;757,2489;TS121;0;Béja;(4) 50 à 100 000;93,3;84,2;19,2;38396;20188;9163;2273;1585;38084;456,64;0,299
TS1212;Amdoun ;170,0568;774,456;TS121;0;;(1) moins de 10 000;105,3;86,0;18,9;22484;4960;4976;675;1093;22048;244,1;0,205
TS1213;Nefza ;173,0658;795,4194;TS121;0;;(1) moins de 10 000;104,5;76,5;26,4;53195;6039;12584;1031;3425;51678;618,45;0,173
TS1214;Teboursouk ;188,4008;736,4756;TS121;0;;(2) 10 à 20 000;94,7;96,1;39,4;24327;10987;5811;631;1456;23841;401,75;0,291
TS1215;Tibar ;174,9668;740,2574;TS121;0;;(1) moins de 10 000;105,9;102,0;38,0;10509;0;2690;295;559;10217;109,5;0,241
TS1216;Testour ;206,0023;750,2401;TS121;0;;(2) 10 à 20 000;73,3;74,8;31,6;32772;12732;7768;1170;1599;32372;618,56;0,245
TS1217;Goubellat ;229,5357;743,5974;TS121;0;;(1) moins de 10 000;55,0;66,1;53,0;16383;3741;3099;420;643;16547;405,25;0,249
TS1218;Medjez El Bab ;222,8338;762,9219;TS121;0;;(3) 20 à 50000;53,6;55,6;37,8;38964;20308;8651;1575;2244;40696;469,75;0,354
TS1220;Jendouba  ;149,3211;736,4324;TS122;1;Jendouba;(3) 20 à 50000;131,5;123,8;1,0;68597;31167;16522;5403;7283;72860;239;0,291
TS1221;Jendouba Nord ;138,8286;744,9312;TS122;0;Jendouba;(3) 20 à 50000;139,6;127,6;14,5;44195;12830;10355;2758;3192;45053;264;0,234
TS1222;Bou Salem ;164,0325;747,488;TS122;0;;(3) 20 à 50000;114,4;105,4;19,4;36061;14680;8841;1100;4516;33018;336,49;0,286
TS1223;Tabarka ;151,1405;786,8748;TS122;0;;(2) 10 à 20 000;124,9;99,8;51,5;45494;15634;922;2271;2520;46699;369;0,273
TS1224;Ain Draham ;138,5025;772,3705;TS122;0;;(2) 10 à 20 000;136,8;116,0;38,5;40372;8888;10689;1026;3302;38379;501;0,089
TS1225;Fernana ;133,1593;757,7367;TS122;0;;(1) moins de 10 000;143,1;126,5;27,7;52690;3206;12424;769;1990;53050;408;0,091
TS1226;Ghardimaou ;107,9014;739,7719;TS122;0;;(3) 20 à 50000;170,9;157,1;42,6;67955;19688;16342;933;2389;70195;516,35;0,188
TS1227;Oued Meliz ;125,9967;736,782;TS122;0;;(1) moins de 10 000;153,9;142,8;24,3;19015;2188;4687;498;594;18373;193,27;0,099
TS1228;Balta - Bou Aouane ;158,4998;762,8244;TS122;0;;(1) moins de 10 000;117,4;101,6;28,9;42229;5418;9836;1339;247;45176;274,89;0,160
TS1230;Kef Ouest  ;130,2481;700,8247;TS123;1;Kef;(3) 20 à 50000;162,5;161,6;1,0;29951;27472;10824;2909;2126;30622;225,4;0,331
TS1231;Kef Est ;153,1652;704,2547;TS123;0;Kef;(3) 20 à 50000;140,7;143,3;24,2;40456;17719;7840;3214;10049;40315;396,6;0,337
TS1232;Nebeur ;143,0883;720,8564;TS123;0;;(1) moins de 10 000;142,5;138,6;24,8;28328;6330;6766;582;1067;27910;729,4;0,141
TS1233;Sakiet Sidi Youssef ;112,6355;704,683;TS123;0;;(1) moins de 10 000;176,9;172,3;19,0;20527;6196;5144;510;1252;20207;731,31;0,102
TS1234;Tajerouine ;122,9971;679,6769;TS123;0;;(2) 10 à 20 000;179,2;181,8;23,4;30659;20396;7941;1480;1984;30270;668,57;0,212
TS1235;Kalâat Snan ;105,5095;661,7791;TS123;0;;(1) moins de 10 000;203,6;206,8;47,2;16454;5044;4156;585;1318;16051;516,06;0,141
TS1236;Kalâat Khasbah ;120,2069;651,7386;TS123;0;;(1) moins de 10 000;197,6;203,2;51,1;7353;2871;1837;328;588;7156;217,6;0,104
TS1237;Djerissa ;131,1279;663,6761;TS123;0;;(1) moins de 10 000;181,7;188,7;38,2;11298;11298;3093;438;957;10974;174,61;0,140
TS1238;El Ksour ;159,7183;665,1641;TS123;0;;(1) moins de 10 000;158,9;163,3;47,3;17100;5357;3589;400;890;16888;456,45;0,171
TS1239;Dahmani ;147,191;678,4089;TS123;0;;(2) 10 à 20 000;160,0;167,3;29,1;30749;14061;6925;812;1854;30254;530;0,218
TS123A;Es-Sers ;164,5735;690,463;TS123;0;;(2) 10 à 20 000;138,8;147,5;36,9;25915;11927;5786;928;1256;26111;435;0,201
TS1240;Siliana Nord  ;192,9008;688,6829;TS124;1;Siliana;(3) 20 à 50000;118,8;127,5;1,0;26102;16626;6012;2085;7118;26971;379,11;0,325
TS1241;Siliana Sud ;202,6575;678,7072;TS124;0;Siliana;(3) 20 à 50000;120,1;121,3;15,0;29286;7617;6531;1332;1318;28972;478,79;0,256
TS1242;Bou Arada ;222,2697;717,8868;TS124;0;;(2) 10 à 20 000;77,4;86,2;42,4;20877;12273;4703;615;1433;20871;393,72;0,278
TS1243;Gaâfour ;198,4043;710,1634;TS124;0;;(1) moins de 10 000;100,1;109,9;23,2;17963;9358;4700;689;1236;17719;494,45;0,211
TS1244;El Krib ;175,0455;722,7364;TS124;0;;(1) moins de 10 000;112,7;115,1;39,5;21546;7811;4796;981;1123;21154;434,19;0,255
TS1245;Bourouis ;178,3469;703,9434;TS124;0;;(1) moins de 10 000;119,7;128,7;22,1;15712;3700;3216;317;1011;15489;273,11;0,200
TS1246;Makthar ;179,5779;666,719;TS124;0;;(2) 10 à 20 000;144,0;143,5;26,7;31139;12942;6383;766;3384;30721;351,12;0,223
TS1247;Er-Rouhia ;183,9087;642,8824;TS124;0;;(1) moins de 10 000;160,1;140,8;47,7;29991;4307;5341;685;1614;31342;621,79;0,115
TS1248;Kesra ;200,8334;658,7693;TS124;0;;(1) moins de 10 000;137,5;122,3;31,9;17763;2490;3698;353;904;17458;438,68;0,124
TS1249;Bargou ;222,9405;694,0313;TS124;0;;(1) moins de 10 000;95,9;102,8;31,5;13823;4547;3134;450;767;13552;442,7;0,175
TS124A;El Aroussa ;208,8852;725,8596;TS124;0;;(1) moins de 10 000;82,1;92,7;41,5;9783;2621;2561;292;349;9613;334,34;0,162
TS2110;Sousse Medina  ;318,0491;664,2219;TS211;1;Sousse;(5) 100 000 à 1 000 000;119,0;5,0;1,0;29680;29680;11946;4637;17760;29041;7,63;0,686
TS2111;Sousse Riadh ;316,0472;658,7783;TS211;0;Sousse;(5) 100 000 à 1 000 000;123,4;10,8;6,8;65333;65333;17941;13648;4111;79934;42,85;0,465
TS2112;Sousse Jawhara ;318,4286;661,0727;TS211;0;Sousse;(5) 100 000 à 1 000 000;122,1;8,2;4,2;62663;62663;19738;14111;2296;75383;13,52;0,679
TS2113;Sousse Sidi Abdelhamid ;315,269;663,8254;TS211;0;Sousse;(5) 100 000 à 1 000 000;118,4;7,8;3,8;46257;46257;11508;6900;1697;53783;11,7;0,657
TS2114;Hammam Sousse ;313,8349;668,5356;TS211;0;Sousse;(5) 100 000 à 1 000 000;113,5;11,0;7,0;34685;34685;12503;4229;2130;39143;17,6;0,624
TS2115;Akouda ;309,7851;674,6995;TS211;0;Sousse;(5) 100 000 à 1 000 000;106,3;18,3;14,3;25717;21237;8439;2516;1113;28672;45,22;0,551
